レースID,区分,月日時分,頭数,単勝票数,複勝票数,1単,1複Lo,1複Hi,2単,2複Lo,2複Hi,3単,3複Lo,3複Hi,4単,4複Lo,4複Hi,5単,5複Lo,5複Hi,6単,6複Lo,6複Hi,7単,7複Lo,7複Hi,8単,8複Lo,8複Hi,9単,9複Lo,9複Hi,10単,10複Lo,10複Hi,11単,11複Lo,11複Hi,12単,12複Lo,12複Hi,13単,13複Lo,13複Hi,14単,14複Lo,14複Hi,15単,15複Lo,15複Hi,16単,16複Lo,16複Hi
2025120607050101,1,12052126,16,       2971,       6187,   9.3,   2.8,   4.5,   5.6,   1.8,   2.6,  76.6,  25.8,  43.6,  22.4,   5.7,   9.4,  52.8,  12.8,  21.5,  16.0,   3.5,   5.6,  15.9,   4.7,   7.7,   4.2,   2.2,   3.4,  13.2,   3.3,   5.4,   8.0,   3.0,   4.7,   8.8,   1.2,   1.4, 103.3,  57.0,  96.5,  21.4,   7.1,  11.8,  25.8,   8.6,  14.2, 158.4,  32.5,  55.0,   8.8,   1.7,   2.4
2025120607050101,1,12052131,16,       3238,       6531,   9.8,   3.0,   4.7,   5.9,   1.7,   2.5,  83.5,  26.0,  42.6,  24.4,   6.1,   9.8,  53.9,  13.6,  22.1,  16.6,   2.5,   3.9,  10.2,   5.0,   7.9,   4.6,   2.3,   3.5,   9.0,   3.6,   5.6,   8.7,   3.2,   5.0,   9.1,   1.2,   1.5, 112.6,  62.1, 101.8,  23.3,   7.7,  12.3,  26.9,   8.2,  13.3, 172.6,  34.3,  56.2,   9.3,   1.7,   2.5
2025120607050101,1,12052136,16,       3872,       6645,  11.6,   3.1,   4.7,   6.4,   1.7,   2.5,  96.8,  26.0,  42.2,  26.9,   5.7,   9.0,  64.5,  13.6,  21.9,  18.4,   2.5,   3.8,  12.2,   5.1,   8.0,   4.0,   2.4,   3.6,  10.8,   3.7,   5.7,   9.6,   3.2,   5.0,  10.6,   1.2,   1.5, 134.6,  28.0,  45.4,  27.4,   7.6,  12.1,  30.9,   8.3,  13.2, 193.6,  32.1,  52.0,   5.1,   1.7,   2.5
2025120607050101,1,12052141,16,       4061,       6777,  12.2,   3.2,   4.8,   6.6,   1.8,   2.6, 101.5,  26.2,  42.1,  25.9,   5.9,   9.2,  64.9,  14.0,  22.3,  13.5,   2.4,   3.6,  12.2,   5.1,   8.0,   4.2,   2.4,   3.6,  11.3,   3.8,   5.8,   9.4,   3.0,   4.5,  10.0,   1.2,   1.5, 129.9,  28.8,  46.3,  28.7,   7.8,  12.3,  29.5,   7.9,  12.4, 191.1,  32.1,  51.5,   5.3,   1.8,   2.5
2025120607050101,1,12052146,16,       4209,       6886,  12.3,   3.2,   4.9,   6.4,   1.8,   2.5, 105.2,  26.8,  42.7,  19.0,   5.7,   8.9,  66.0,  14.1,  22.4,  13.9,   2.4,   3.6,  12.6,   4.9,   7.6,   4.3,   2.4,   3.6,  11.6,   3.8,   5.8,   9.7,   3.0,   4.5,  10.0,   1.3,   1.5, 134.6,  29.5,  47.0,  29.5,   7.8,  12.3,  29.5,   7.4,  11.6, 198.0,  32.8,  52.3,   5.2,   1.8,   2.5
2025120607050101,1,12052151,16,       4414,       6971,  12.7,   3.2,   4.9,   6.4,   1.8,   2.5, 100.8,  27.2,  43.3,  18.7,   5.5,   8.5,  50.4,  12.6,  19.8,  13.2,   2.4,   3.6,  12.7,   5.0,   7.6,   4.3,   2.4,   3.6,  11.8,   3.8,   5.7,   9.7,   3.0,   4.6,  10.1,   1.3,   1.5, 141.2,  29.9,  47.6,  30.4,   7.9,  12.3,  30.7,   7.2,  11.3, 160.5,  33.3,  53.0,   5.3,   1.8,   2.6
2025120607050101,1,12052156,16,       4566,       7187,  13.0,   3.3,   5.0,   6.3,   1.8,   2.5, 104.3,  27.5,  43.6,  19.2,   5.6,   8.7,  48.0,  12.3,  19.3,  13.6,   2.4,   3.6,  12.7,   4.9,   7.6,   4.4,   2.4,   3.6,  12.0,   3.8,   5.7,  10.0,   3.1,   4.7,  10.0,   1.3,   1.6, 146.1,  31.0,  49.1,  30.4,   7.5,  11.6,  26.4,   6.7,  10.5, 166.0,  33.5,  53.1,   5.1,   1.7,   2.5
2025120607050101,1,12052201,16,       4691,       7377,  13.3,   3.4,   5.1,   6.5,   1.8,   2.5, 107.2,  28.5,  44.7,  19.6,   5.8,   8.9,  48.7,  12.2,  19.0,  11.3,   2.3,   3.3,  12.5,   4.9,   7.5,   4.5,   2.5,   3.6,  12.1,   3.8,   5.8,  10.3,   3.2,   4.8,   9.6,   1.3,   1.6, 138.9,  30.5,  47.9,  31.2,   7.6,  11.7,  26.9,   6.7,  10.4, 170.5,  34.7,  54.5,   5.2,   1.8,   2.5
2025120607050101,1,12052206,16,       4885,       7718,  13.6,   3.5,   5.2,   6.6,   1.7,   2.4, 111.6,  29.2,  45.8,  17.9,   5.8,   8.9,  48.8,  10.7,  16.7,  10.3,   2.2,   3.3,  12.9,   4.6,   7.0,   4.7,   2.6,   3.8,  12.0,   3.5,   5.2,  10.4,   3.3,   4.9,   9.5,   1.3,   1.6, 139.5,  32.0,  50.2,  30.5,   7.6,  11.7,  27.9,   7.0,  10.7, 177.6,  36.4,  57.0,   5.2,   1.8,   2.6
2025120607050101,1,12052211,16,       5054,       7889,  14.0,   3.5,   5.3,   6.3,   1.6,   2.3, 106.4,  28.4,  44.8,  18.0,   5.8,   8.9,  48.7,  10.8,  16.9,  10.2,   2.2,   3.2,  13.2,   4.7,   7.1,   4.8,   2.6,   3.8,  12.1,   3.5,   5.3,  10.6,   3.2,   4.7,   9.7,   1.3,   1.6, 126.3,  30.4,  47.8,  31.3,   7.4,  11.5,  28.4,   7.1,  10.9, 183.7,  37.0,  58.2,   5.0,   1.8,   2.6
